Time;time_err;0.3-1keV;0.3-1keV_err;3-10keV;3-10keV_err;HR;HR_err
2287.59;0.0706944;0.082391;0.006856;0.003041;0.001360;0.036907;0.016795
2291.34;0.169178;0.123412;0.009215;0.008138;0.002515;0.065938;0.020967
2292.08;0.433403;0.080916;0.007990;0.003695;0.001759;0.045667;0.022205
2293.01;0.242859;0.162402;0.013666;0.007358;0.003031;0.045307;0.019048
2297.67;0.0367014;0.050443;0.006691;0.004980;0.002127;0.098724;0.044156
2298.76;0.0700463;0.107459;0.010846;0.002764;0.001845;0.025719;0.017366
2300.37;0.00255787;0.057772;0.015254;0.003367;0.003735;0.058279;0.066458
2301.95;0.345845;0.106608;0.008181;0.001459;0.001067;0.013690;0.010061
2303.22;0.0737616;0.256669;0.016735;0.014216;0.004068;0.055386;0.016256
2304.53;0.0728241;0.108382;0.009131;0.006103;0.002179;0.056310;0.020655
2304.97;0.113067;0.081533;0.007210;0.003359;0.001551;0.041193;0.019372
2306.37;0.0269213;0.133430;0.012440;0.006318;0.002763;0.047352;0.021172
2312.7;0.0127315;0.179483;0.031521;0.016146;0.009475;0.089957;0.055102
2317.17;0.343681;0.161695;0.010058;0.008104;0.002325;0.050119;0.014715
2318.46;0.0398495;0.061344;0.007344;0.000636;0.000859;0.010374;0.014062
2318.92;0.0354977;0.103693;0.007997;0.004932;0.001821;0.047566;0.017942
2320.98;0.0392361;0.251933;0.015436;0.012224;0.003472;0.048523;0.014098
2322.25;0.229664;0.203389;0.013523;0.013929;0.003913;0.068482;0.019770
2323.01;0.00438657;0.117016;0.013797;0.002900;0.002302;0.024787;0.019886
2324.21;0.00934028;0.247355;0.018303;0.009693;0.003642;0.039185;0.015007
2324.58;0.0384838;0.298405;0.017930;0.011631;0.003691;0.038978;0.012588
2328.56;0.0385069;0.030665;0.004446;0.000945;0.000842;0.030827;0.027831

